ID;Nº veces alquilado
11210388;42
17471131;1
17584891;0
5398030;13
18104606;0
15695269;0
1295958;43
1349311;29
15698621;1
6766647;1
13531067;6
9474923;7
17471207;0
15459188;1
13184463;9
1266363;90
15458789;4
17115175;1
10378650;50
12069765;5
5266080;0
2476666;30
13634469;1
12375665;1
15697876;2
4952774;12
16100590;17
10689360;15
17584773;0
15695644;2
4736808;27
2538360;55
12051775;13
13632619;12
2655723;1
2633582;135
9612180;0
15582524;2
5438032;8
10463949;0
6478626;171
4941335;52
12510355;36
4756811;15
15332216;0
15825062;11
3116679;10
3962279;72
16539166;2
12416420;10
6263965;44
13435361;2
8335074;11
11490236;12
7262344;16
8530533;2
11330049;24
17586275;3
13468543;1
10557669;14
7395552;1
17323600;0
7557274;56
14847711;2
17401852;1
11752865;23
13387162;0
6858202;71
10937106;12
3254586;0
12113295;0
8026146;16
17730587;1
13555923;4
18034555;0
15481550;18
17146929;2
16439699;5
15373163;9
7573903;12
8739312;1
15923293;4
8235473;1
14435955;15
747423;5
13723065;2
15647707;0
17797538;0
7014906;22
8785549;0
13694623;52
382511;23
1737408;17
4594164;3
867148;0
15261457;13
1816678;8
3189794;15
12993678;6
14664093;0
621417;1
14333551;3
5829509;0
15200707;2
15201244;1
8209173;30
6379731;1
12129380;1
15482904;1
14735982;7
13303840;14
8333903;42
13674971;22
14476996;32
17543080;0
16989960;0
6596938;0
7026968;9
11386800;0
8082376;5
16773267;1
17953975;0
13598783;9
7865370;13
5345573;4
290420;31
8788542;5
9646543;11
2033160;21
7496237;33
12329933;5
2393322;49
677013;0
14840572;6
17235985;0
240128;66
6575326;0
2987923;0
9600924;34
13135886;31
17188846;2
1172916;13
16804907;0
15495227;0
8192177;26
8234770;30
13557030;7
12059936;0
17653107;5
18001332;0
1347768;0
1553260;0
4996569;3
8320647;32
17840364;1
14258706;6
5788320;0
17459693;2
13775292;7
16130174;0
10016232;15
13887762;6
9786171;4
8833948;14
16170391;0
10189002;0
10144206;0
8782737;27
4376685;17
4799714;16
8780301;0
14411603;11
3909843;8
17959597;0
10062077;36
15960496;1
14305864;31
18028137;0
1876151;2
7315514;2
9141178;33
3632267;15
4378187;12
13121168;3
12986865;7
6654288;9
1209661;175
15979367;13
16035504;10
537234;7
13823481;18
17491236;0
5257204;8
13892731;8
12245333;8
1740331;20
16399219;8
10612113;14
9116029;49
6495226;82
5177584;16
72950;20
9767406;65
16810362;12
852623;26
16064559;15
610675;7
3269089;33
13287918;43
3073658;13
4338727;0
7138454;0
7862340;86
18087291;0
16144315;8
5109496;19
397778;15
1465382;132
4577162;15
5923739;1
4804963;87
10942225;4
11986978;4
13392352;7
12872019;5
12968613;3
16737075;1
17163281;4
12926111;30
6797319;26
10170248;1
3840575;116
6639621;0
2632941;18
882910;11
15005723;5
13036772;32
14934647;0
15397031;13
9271540;6
12863343;25
16158619;1
9517384;16
9518925;1
1966379;64
11017642;15
3818258;0
410699;89
11221806;48
14288612;21
5940882;1
16360014;1
13633892;47
5408767;24
11568010;58
17221671;2
11663087;19
7179473;88
6817970;7
7273497;0
6592328;3
17837649;0
15971118;0
16413001;4
16631116;0
10192147;21
16091165;29
7805438;5
14069193;15
14704409;15
17044186;19
12924181;5
17181453;0
6859105;1
15445749;4
16855096;1
8896193;12
12052167;0
9272704;9
16224410;1
14180814;24
6379290;31
11217319;4
12358350;2
16546235;0
